ID,SNM,STYP,FND,RGN,USC,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
164,목포과학대학교,전문대학,사립,전남,B그룹,62.3975913174603,61.77782176190475,61.82044177777779,61.22796788888887,61.11603833333331,61.125824,61.125706
165,문경대학교,전문대학,사립,경북,C그룹,64.76812473352578,64.52956151130351,64.47384116209719,64.17901766137567,64.09897718518523,64.09934,64.096756
166,배재대학교,대학,사립,대전,B그룹,66.57960484854293,66.51747636730195,66.47098164324765,66.43471183821735,66.11126633622129,66.09775,66.09543
167,배화여자대학교,전문대학,사립,서울,B그룹,65.54979869384317,65.65261424939875,65.5900038975469,64.01465626984123,64.88000995238092,64.86659,64.86749
168,백석대학교,대학,사립,충남,A그룹,66.98236005100452,67.04529020409979,66.70108523928684,66.93586568861531,66.7047262782479,66.707344,66.702095
169,백석문화대학교,전문대학,사립,충남,A그룹,63.98272807936509,64.02508522222223,62.72862114285712,62.780241063492085,63.78366209523809,63.777004,63.78375
170,백석예술대학,전문대학,사립,서울,A그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
171,백제예술대학교,전문대학,사립,전북,C그룹,64.31632984463681,62.90043495238096,62.9820944920635,62.88056149206349,62.65617711111111,62.657322,62.651154
172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,64.08704911255407,64.21508358080806,64.63647104906202,64.4689963174603,64.51403178354978,64.523895,64.522896
173,벽성대학,전문대학,사립,전북,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
174,부산가톨릭대학교,대학,사립,부산,C그룹,67.40437051220275,67.03098171999497,67.02192568824891,66.94316806920132,66.79099973740345,66.792595,66.78991
175,부산경상대학교,전문대학,사립,부산,B그룹,62.96153965079364,63.61618861904763,63.70633043722943,63.46709377056278,64.23171861904764,64.218254,64.2291
176,부산과학기술대학교,전문대학,사립,부산,B그룹,63.786767929292935,63.74845459595961,63.48048340548343,63.46142039682543,64.14711204761907,64.14533,64.14496
177,부산교육대학교,대학,국립,부산,C그룹,67.03106097910623,66.36007510609036,66.23450022249247,66.50720539180465,63.40988128893329,63.409412,63.40143
178,부산대학교,대학,국립,부산,A그룹,73.62526062337668,74.4620167239428,74.49554052092361,74.37626726406936,66.32071984559886,66.33324,66.342354
179,부산디지털대학교,대학,사립,부산,C그룹,60.96125492063493,61.0766487777778,61.07198544444446,60.840728253968265,60.01986773015874,60.015785,60.000305
