연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,144,동신대학교,대학,사립,전남,B그룹,449240,84032,533272,583983,102272,686255,5,17,29428,5,27,29428,323,39,362,18583,2062,20645,18959,0,686255,7438,92.30000305175781,20645,686255,3.0999999046325684
2018,145,동아대학교,대학,사립,부산,A그룹,540142,249912,790054,983905,359336,1343241,32,26,194425,0,58,194425,340,170,510,21598,6909,28507,17981,0,1343241,21325,63,28507,1343241,2.200000047683716
2018,146,동아방송예술대학교,전문대학,사립,경기,B그룹,57768,11678,69446,79696,11951,91647,1,8,18508,0,9,18508,69,0,69,4312,1068,5380,2943,0,91647,2982,30.700000762939453,5380,91647,6.199999809265137
2018,147,동아보건대학교,전문대학,사립,전남,C그룹,36896,0,36896,46337,0,46337,1,1,4645,0,2,4645,43,0,43,2527,1733,4260,2889,0,46337,1955,23.700000762939453,4260,46337,10.100000381469727
2018,148,동양대학교,대학,사립,경북,C그룹,142025,57721,199746,264079,74246,338325,5,0,23613,2,7,23613,80,0,80,30178,6238,36416,12533,1392,338325,4592,73.69999694824219,36416,338325,12.100000381469727
2018,149,동양미래대학교,전문대학,사립,서울,A그룹,169930,17182,187112,252120,22401,274521,5,4,24697,3,12,24697,174,25,199,9186,232,9418,8048,0,274521,5770,47.599998474121094,9418,274521,3.5999999046325684
2018,150,동우대학,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,151,동원과학기술대학교,전문대학,사립,경남,B그룹,51070,1895,52965,79000,2181,81181,1,0,1896,0,1,1896,87,1,88,1757,399,2156,1079,0,81181,2101,38.599998474121094,2156,81181,2.700000047683716
2018,152,동원대학교,전문대학,사립,경기,B그룹,80810,2019,82829,120291,2401,122692,0,1,15342,0,1,15342,74,0,74,6195,40,6235,4404,0,122692,3557,34.5,6235,122692,5.400000095367432
2018,153,동의과학대학교,전문대학,사립,부산,B그룹,92143,6008,98151,163715,7826,171541,3,3,11539,1,7,11539,114,18,132,4713,797,5510,3273,0,171541,5247,32.70000076293945,5510,171541,3.299999952316284
2018,154,동의대학교,대학,사립,부산,A그룹,418294,149951,568245,898540,272817,1171357,11,13,33285,1,25,33285,439,24,463,18000,2211,20211,11551,0,1171357,16813,69.69999694824219,20211,1171357,1.7999999523162842
2018,155,두원공과대학교,전문대학,사립,경기,B그룹,59846,9463,69309,116070,10949,127019,1,1,1095,0,2,1095,169,49,218,4263,0,4263,1666,0,127019,5844,21.700000762939453,4263,127019,3.5
2018,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,2454,0,2454,9905,0,9905,0,1,2454,0,1,2454,0,0,0,756,0,756,725,0,9905,3776,2.5999999046325684,756,9905,8.300000190734863
2018,157,루터대학교,대학,사립,경기,C그룹,18468,7703,26171,28823,10715,39538,4,5,2360,0,9,2360,48,20,68,533,7,540,364,0,39538,416,95,540,39538,1.399999976158142
2018,158,마산대학교,전문대학,사립,경남,A그룹,92078,1309,93387,169077,1500,170577,3,4,31358,42,49,31358,127,0,127,30869,1,30870,17772,0,170577,5679,30,30870,170577,22.100000381469727
2018,159,명신대학교,대학,사립,전남,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
