연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,71,국립공주대학교,대학,국립,충남,A그룹,204050302666,272997740,27032540,0,666886360,183557810,0,28029190,1178503640,155118649000,290000000,26641000,0,236700000,188600000,0,16700000,758641000,1178503640,15012,78504.1,1178503640,204050302666,0.6,1563949820,1023234070,1178503640,-9.7
2022,72,국립군산대학교,대학,국립,전북,B그룹,106694497742,271170360,43242032,4132440,450417580,46291960,0,27983180,843237552,84116418000,79750000,21000000,910000,473896200,51162500,0,30781300,657500000,843237552,7830,107693.2,843237552,106694497742,0.8,694949895,757249991,843237552,10.2
2022,73,국립금오공과대학교,대학,국립,경북,B그룹,80959225898,255517620,14963220,2581040,541768449,175327980,0,61085000,1051243309,70021129000,245000000,16588000,2500000,569000000,190000000,0,63500000,1086588000,1051243309,5874,178965.5,1051243309,80959225898,1.3,1012805460,991020310,1051243309,2.0
2022,74,국립목포대학교,대학,국립,전남,B그룹,112807993506,152274890,5778300,13842570,268955940,169662840,0,0,610514540,96217244000,104000000,5000000,0,225000000,120000000,0,0,454000000,610514540,7406,82435.1,610514540,112807993506,0.5,529519400,401371670,610514540,14.0
2022,75,국립목포해양대학교,대학,국립,전남,C그룹,61412287864,74528410,5966490,1737530,90142360,5053930,0,42584600,220013320,68451120000,82755000,6900000,0,80175000,5500000,0,42000000,217330000,220013320,2657,82805.2,220013320,61412287864,0.4,192916859,210244451,220013320,6.8
2022,76,국립부경대학교,대학,국립,부산,A그룹,225071240134,269197570,38921960,3000000,1291080856,396407316,0,75195540,2073803242,219957167180,207000000,45000000,1500000,1046100000,151600000,0,68730000,1519930000,2073803242,18005,115179.3,2073803242,225071240134,0.9,1928544493,1860262970,2073803242,4.0
2022,77,국립순천대학교,대학,국립,전남,B그룹,114648207372,285535000,9205000,33018000,257498070,247996930,0,65308000,898561000,90927677000,290000000,10000000,30000000,218000000,220000000,0,60000000,828000000,898561000,7514,119584.9,898561000,114648207372,0.8,850561786,897793177,898561000,2.8
2022,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,5369496000,11178500,0,0,0,0,0,0,11178500,5688670000,11700000,0,0,0,0,0,0,11700000,11178500,69,162007.2,11178500,5369496000,0.2,11501190,11033500,11178500,-1.4
2022,79,국립창원대학교,대학,국립,경남,B그룹,138731446533,231126360,87588620,2996330,468316610,185610130,0,16425000,992063050,118424567000,331000000,92000000,3000000,503000000,190000000,0,17000000,1136000000,992063050,9095,109077.9,992063050,138731446533,0.7,926212660,962695850,992063050,3.5
2022,80,국립한국교통대학교,대학,국립,충북,B그룹,123817103155,433394493,5176000,6357000,219281625,398659254,0,20093000,1082961372,90461736000,646900000,5500000,10000000,281500000,254860000,0,12856000,1211616000,1082961372,8729,124064.8,1082961372,123817103155,0.9,1009786105,990923808,1082961372,3.7
2022,81,국립한국해양대학교,대학,국립,부산,B그룹,110441444687,112915100,34030690,55374770,509035086,223301344,0,24700000,959356990,100950164000,75000000,33000000,5500000,66405420,56567580,0,0,236473000,959356990,7304,131346.8,959356990,110441444687,0.9,890323630,763644936,959356990,5.7
2022,82,국립한밭대학교,대학,국립,대전,B그룹,108778819412,275000000,27399720,5000000,437263780,228908510,0,23700450,997272460,92994534000,275000000,29180000,5000000,360000000,160000000,0,0,829180000,997272460,9117,109386.0,997272460,108778819412,0.9,963195940,993208040,997272460,1.8
2022,83,국민대학교,대학,사립,서울,A그룹,233898143599,403026334,34673666,1925850,696451612,403825073,0,104159465,1644062000,326378192000,409700000,38000000,500000,722500000,415000000,0,106000000,1691700000,1644062000,18425,89230.0,1644062000,233898143599,0.7,1780000000,1441547000,1644062000,-2.5
2022,84,국방대학교,기타,기타,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2022,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,2637003634,1774790,0,2679600,12607000,0,0,0,17061390,2576979000,4000000,0,2679600,16300000,0,0,0,22979600,17061390,251,67973.7,17061390,2637003634,0.6,15223320,13237210,17061390,7.9
2022,86,국제대학교,전문대학,사립,경기,B그룹,34775840055,42678120,6600000,0,9243000,2502869,0,2000000,63023989,30502152000,48306000,0,0,9460000,2800000,0,2000000,62566000,63023989,3236,19475.9,63023989,34775840055,0.2,73713245,75128837,63023989,-7.1
2022,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
