ID,SNM,STYP,FND,RGN,USC,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
345,창신대학교,대학,사립,경남,C그룹,68.69585447848839,68.89993962023007,68.08085268529994,68.076996,68.07708
346,창원문성대학교,전문대학,사립,경남,C그룹,67.98611774280742,68.13228789577636,68.79369453947328,68.80369,68.80378
347,청강문화산업대학교,전문대학,사립,경기,B그룹,68.51234742751333,67.9033593977547,67.40467448524352,67.40452,67.403595
348,청암대학교,전문대학,사립,전남,B그룹,68.42538474935883,69.27537807652485,66.33829935441793,66.295616,66.323456
349,청운대학교,대학,사립,충남,B그룹,67.17330952949433,67.20857076399932,67.45499380450359,67.458885,67.45697
350,청주교육대학교,대학,국립,충북,C그룹,66.39525526308303,66.45686126046681,67.1821818824372,67.17164,67.16692
351,청주대학교,대학,사립,충북,A그룹,66.40156949431885,66.2922266373288,67.53375800586453,67.544205,67.54206
352,초당대학교,대학,사립,전남,C그룹,67.64406691087102,67.32250221621474,67.58925594313907,67.58222,67.58491
353,총신대학교,대학,사립,서울,C그룹,66.3100904460345,66.26391909093493,66.30799197893128,66.32458,66.32458
354,추계예술대학교,대학,사립,서울,C그룹,68.97459238725796,68.41008618793344,68.04513434793135,68.04158,68.039345
355,춘천교육대학교,대학,국립,강원,C그룹,65.98784275862502,66.00382503825118,67.14160871105402,67.13535,67.12754
356,춘해보건대학교,전문대학,사립,울산,B그룹,67.52035357524633,67.46566132700895,67.79684601712569,67.79131,67.79124
