YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS
2015,164,목포과학대학교,전문대학,사립,전남,B그룹,3510,620,6,13,19,3510,2859,1.2000000476837158
2015,165,문경대학교,전문대학,사립,경북,C그룹,744,177,3,5,8,744,878,0.800000011920929
2015,166,배재대학교,대학,사립,대전,B그룹,9465,1672,21,97,118,9465,10260,0.8999999761581421
2015,167,배화여자대학교,전문대학,사립,서울,B그룹,6329,667,5,72,77,6329,3059,2.0999999046325684
2015,168,백석대학교,대학,사립,충남,A그룹,14015,2569,18,136,154,14015,15310,0.8999999761581421
2015,169,백석문화대학교,전문대학,사립,충남,A그룹,3267,404,35,75,110,3267,6218,0.5
2015,170,백석예술대학,전문대학,사립,서울,A그룹,0,0,0,0,0,0,0,0.0
2015,171,백제예술대학교,전문대학,사립,전북,C그룹,1355,135,3,11,14,1355,1842,0.699999988079071
2015,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198,16,3,1,4,198,88,2.299999952316284
2015,173,벽성대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0.0
2015,174,부산가톨릭대학교,대학,사립,부산,C그룹,5686,909,17,47,64,5686,4272,1.2999999523162842
2015,175,부산경상대학교,전문대학,사립,부산,B그룹,3823,860,12,36,48,3823,3216,1.2000000476837158
2015,176,부산과학기술대학교,전문대학,사립,부산,B그룹,2515,331,7,45,52,2515,4506,0.6000000238418579
2015,177,부산교육대학교,대학,국립,부산,C그룹,6023,818,16,41,57,6023,2592,2.299999952316284
2015,178,부산대학교,대학,국립,부산,A그룹,35856,5597,115,274,389,35856,30456,1.2000000476837158
2015,179,부산디지털대학교,대학,사립,부산,C그룹,50,16,1,3,4,50,2539,0.0
2015,180,부산보건대학교,전문대학,사립,부산,B그룹,2471,657,10,36,46,2471,3563,0.699999988079071
2015,181,부산여자대학교,전문대학,사립,부산,C그룹,5131,549,13,44,57,5131,2948,1.7000000476837158
2015,182,부산예술대학교,전문대학,사립,부산,C그룹,1067,200,1,2,3,1067,852,1.2999999523162842
2015,183,부산외국어대학교,대학,사립,부산,B그룹,7534,1968,23,100,123,7534,9653,0.800000011920929
2015,184,부산장신대학교,대학,사립,경남,C그룹,1041,211,4,29,33,1041,509,2.0
2015,185,부천대학교,전문대학,사립,경기,A그룹,4267,801,13,22,35,4267,7736,0.6000000238418579
2015,186,삼육대학교,대학,사립,서울,B그룹,6671,1351,28,102,130,6671,6099,1.100000023841858
2015,187,삼육보건대학교,전문대학,사립,서울,C그룹,1282,284,9,44,53,1282,1289,1.0
2015,188,상명대학교,대학,사립,서울,A그룹,12881,2566,63,220,283,12881,14994,0.8999999761581421
2015,189,상지대학교,대학,사립,강원,B그룹,13824,1398,20,115,135,13824,8239,1.7000000476837158
2015,190,상지영서대학교,전문대학,사립,강원,B그룹,2152,380,8,116,124,2152,3002,0.699999988079071
2015,191,서강대학교,대학,사립,서울,A그룹,15931,2818,84,125,209,15931,11414,1.399999976158142
2015,192,서경대학교,대학,사립,서울,B그룹,11988,1670,30,264,294,11988,7202,1.7000000476837158
2015,193,서남대학교,대학,사립,전북,C그룹,2118,714,3,15,18,2118,1767,1.2000000476837158
2015,194,서라벌대학교,전문대학,사립,경북,C그룹,1110,394,3,13,16,1110,984,1.100000023841858
2015,195,서영대학교,전문대학,사립,광주,A그룹,2029,527,3,30,33,2029,5053,0.4000000059604645
2015,196,서울과학기술대학교,대학,국립,서울,A그룹,14177,2205,34,160,194,14177,12471,1.100000023841858
2015,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,108,35,1,3,4,108,341,0.3000000119209289
2015,198,서울교육대학교,대학,국립,서울,C그룹,4480,792,18,73,91,4480,2980,1.5
2015,199,서울기독대학교,대학,사립,서울,C그룹,583,136,4,9,13,583,881,0.699999988079071
2015,200,서울대학교,대학,국립,서울,A그룹,75222,8020,120,409,529,75222,28490,2.5999999046325684
2015,201,서울디지털대학교,대학,사립,서울,A그룹,10,0,4,2,6,10,10475,0.0
2015,202,서울미디어대학원대학교,대학원대학,사립,서울,-,379,76,1,4,5,379,88,4.300000190734863
2015,203,서울벤처대학원대학교,대학원대학,사립,서울,-,33,10,0,4,4,33,243,0.1000000014901161
2015,204,서울불교대학원대학교,대학원대학,사립,서울,-,218,48,1,3,4,218,164,1.2999999523162842
2015,205,서울사이버대학교,대학,사립,서울,A그룹,0,0,1,0,1,0,11380,0.0
2015,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,158,36,1,0,1,158,83,1.899999976158142
2015,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,429,105,3,6,9,429,109,3.900000095367432
2015,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,210,52,1,1,2,210,64,3.299999952316284
2015,209,서울시립대학교,대학,공립,서울,A그룹,15443,2517,54,193,247,15443,12195,1.2999999523162842
2015,210,서울신학대학교,대학,사립,경기,C그룹,4529,752,37,45,82,4529,3230,1.399999976158142
2015,211,서울여자간호대학교,전문대학,사립,서울,C그룹,1195,319,2,14,16,1195,976,1.2000000476837158
2015,212,서울여자대학교,대학,사립,서울,B그룹,10623,1751,40,128,168,10623,8236,1.2999999523162842
2015,213,서울예술대학교,전문대학,사립,경기,B그룹,730,140,7,32,39,730,3063,0.2000000029802322
2015,214,서울외국어대학원대학교,대학원대학,사립,서울,-,73,59,0,0,0,73,147,0.5
2015,215,서울장신대학교,대학,사립,경기,C그룹,1603,320,3,12,15,1603,874,1.7999999523162842
2015,216,서울한영대학교,대학,사립,서울,C그룹,1385,183,7,17,24,1385,1101,1.2999999523162842
2015,217,서원대학교,대학,사립,충북,B그룹,7835,1564,18,118,136,7835,7474,1.0
2015,218,서일대학교,전문대학,사립,서울,A그룹,2519,613,15,37,52,2519,6422,0.4000000059604645
2015,219,서정대학교,전문대학,사립,경기,A그룹,1157,306,6,12,18,1157,4809,0.2000000029802322
2015,220,서해대학,전문대학,사립,전북,C그룹,916,282,3,2,5,916,1428,0.6000000238418579
2015,221,선교청대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0.0
2015,222,선린대학교,전문대학,사립,경북,C그룹,1140,410,5,12,17,1140,2757,0.4000000059604645
2015,223,선문대학교,대학,사립,충남,B그룹,13118,2230,29,183,212,13118,10574,1.2000000476837158
2015,224,선학유피대학원대학교,대학원대학,사립,경기,-,1657,69,3,9,12,1657,70,23.700000762939453
2015,225,성결대학교,대학,사립,경기,B그룹,13168,1181,30,105,135,13168,6307,2.0999999046325684
2015,226,성공회대학교,대학,사립,서울,C그룹,4714,626,10,45,55,4714,2656,1.7999999523162842
2015,227,성균관대학교,대학,사립,서울,A그룹,43318,7991,147,752,899,43318,27034,1.600000023841858
2015,228,성산효대학원대학교,대학원대학,사립,인천,-,213,24,2,4,6,213,237,0.8999999761581421
2015,229,성서침례대학원대학교,대학원대학,사립,경기,-,528,119,1,2,3,528,50,10.600000381469728
2015,230,성신여자대학교,대학,사립,서울,A그룹,9676,2292,35,129,164,9676,10846,0.8999999761581421
2015,231,성운대학교,전문대학,사립,경북,C그룹,604,160,1,8,9,604,1356,0.4000000059604645
2015,232,성화대학,전문대학,사립,전남,B그룹,0,0,0,0,0,0,0,0.0
2015,233,세경대학교,전문대학,사립,강원,C그룹,518,174,2,4,6,518,983,0.5
2015,234,세계사이버대학,기타,기타,경기,-,0,0,0,0,0,0,0,0.0
2015,235,세명대학교,대학,사립,충북,B그룹,11570,1477,20,135,155,11570,8740,1.2999999523162842
2015,236,세종대학교,대학,사립,서울,A그룹,17313,3655,31,336,367,17313,13713,1.2999999523162842
2015,237,세한대학교,대학,사립,충남,C그룹,6275,1360,6,51,57,6275,4377,1.399999976158142
2015,238,송곡대학교,전문대학,사립,강원,C그룹,293,80,1,2,3,293,820,0.4000000059604645
2015,239,송원대학교,대학,사립,광주,C그룹,3084,535,7,18,25,3084,2369,1.2999999523162842
2015,240,송호대학교,전문대학,사립,강원,C그룹,480,156,5,23,28,480,1034,0.5
2015,241,수도국제대학원대학교,대학원대학,사립,서울,-,246,56,2,8,10,246,307,0.800000011920929
2015,242,수성대학교,전문대학,사립,대구,B그룹,2515,569,6,29,35,2515,3756,0.699999988079071
2015,243,수원가톨릭대학교,대학,사립,경기,C그룹,2898,161,5,10,15,2898,204,14.199999809265137
2015,244,수원과학대학교,전문대학,사립,경기,B그룹,4791,919,5,64,69,4791,6390,0.699999988079071
2015,245,수원대학교,대학,사립,경기,B그룹,17762,2325,30,66,96,17762,11573,1.5
2015,246,수원여자대학교,전문대학,사립,경기,B그룹,1964,323,12,41,53,1964,4563,0.4000000059604645
2015,247,숙명여자대학교,대학,사립,서울,A그룹,16740,3086,55,270,325,16740,13020,1.2999999523162842
2015,248,순복음대학원대학교,대학원대학,사립,서울,-,214,52,2,1,3,214,153,1.399999976158142
2015,249,순복음총회신학교,대학,사립,충북,C그룹,210,82,2,1,3,210,300,0.699999988079071
2015,250,순천제일대학교,전문대학,사립,전남,B그룹,3225,540,3,2,5,3225,2545,1.2999999523162842
2015,251,순천향대학교,대학,사립,충남,A그룹,12939,1908,40,149,189,12939,12123,1.100000023841858
2015,252,숭실대학교,대학,사립,서울,A그룹,11783,2901,37,112,149,11783,15546,0.800000011920929
2015,253,숭실사이버대학교,대학,사립,서울,B그룹,0,0,0,0,0,0,4709,0.0
2015,254,숭의여자대학교,전문대학,사립,서울,B그룹,1249,329,10,27,37,1249,3616,0.3000000119209289
2015,255,신경주대학교,대학,사립,경북,C그룹,3410,643,9,38,47,3410,2694,1.2999999523162842
2015,256,신구대학교,전문대학,사립,경기,A그룹,5567,1558,8,68,76,5567,6839,0.800000011920929
2015,257,신라대학교,대학,사립,부산,B그룹,8110,2001,25,170,195,8110,11035,0.699999988079071
2015,258,신성대학교,전문대학,사립,충남,B그룹,4042,1111,10,44,54,4042,4140,1.0
2015,259,신안산대학교,전문대학,사립,경기,B그룹,3522,477,9,12,21,3522,4449,0.800000011920929
2015,260,신한대학교,대학,사립,경기,B그룹,6104,1368,11,33,44,6104,5826,1.0
2015,261,신흥대학교,전문대학,사립,경기,A그룹,0,0,0,0,0,0,0,0.0
2015,262,실천신학대학원대학교,대학원대학,사립,경기,-,117,25,1,1,2,117,82,1.399999976158142
2015,263,아신대학교,대학,사립,경기,C그룹,2061,458,5,21,26,2061,1478,1.399999976158142
2015,264,아주대학교,대학,사립,경기,A그룹,17213,2708,59,95,154,17213,14313,1.2000000476837158
2015,265,아주자동차대학교,전문대학,사립,충남,C그룹,412,183,4,6,10,412,981,0.4000000059604645
2015,266,안동과학대학교,전문대학,사립,경북,B그룹,7391,633,8,90,98,7391,2859,2.5999999046325684
2015,267,안산대학교,전문대학,사립,경기,A그룹,4413,714,9,73,82,4413,4631,1.0
2015,268,안양대학교,대학,사립,경기,B그룹,4858,1100,23,54,77,4858,5918,0.800000011920929
2015,269,에스라성경대학원대학교,대학원대학,사립,경기,-,135,64,1,2,3,135,76,1.7999999523162842
2015,270,여주대학교,전문대학,사립,경기,B그룹,7276,920,17,65,82,7276,5797,1.2999999523162842
2015,271,연성대학교,전문대학,사립,경기,A그룹,3638,558,15,84,99,3638,6047,0.6000000238418579
2015,272,연세대학교,대학,사립,서울,A그룹,69736,7202,192,983,1175,69736,31191,2.200000047683716
2015,273,연세대학교(미래),대학,사립,강원,B그룹,10486,1781,43,255,298,10486,8201,1.2999999523162842
2015,274,연암공과대학교,전문대학,사립,경남,C그룹,1533,328,2,14,16,1533,1400,1.100000023841858
2015,275,연암대학교,전문대학,사립,충남,C그룹,1829,230,6,22,28,1829,1135,1.600000023841858
2015,276,영남대학교,대학,사립,경북,A그룹,32360,4302,90,306,396,32360,25902,1.2000000476837158
2015,277,영남사이버대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2015,278,영남신학대학교,대학,사립,경북,C그룹,3914,492,7,48,55,3914,735,5.300000190734863
2015,279,영남외국어대학,전문대학,사립,경북,C그룹,906,147,2,29,31,906,873,1.0
2015,280,영남이공대학교,전문대학,사립,대구,A그룹,3851,523,6,66,72,3851,6138,0.6000000238418579
2015,281,영산대학교,대학,사립,경남,B그룹,11099,2166,28,190,218,11099,7617,1.5
2015,282,영산선학대학교,대학,사립,전남,C그룹,416,28,2,2,4,416,42,9.899999618530272
2015,283,영진전문대학교,전문대학,사립,대구,A그룹,4027,995,17,87,104,4027,8084,0.5
2015,284,예명대학원대학교,대학원대학,사립,서울,-,284,50,2,2,4,284,60,4.699999809265137
2015,285,예수대학교,대학,사립,전북,C그룹,1076,250,5,16,21,1076,583,1.7999999523162842
2015,286,예원예술대학교,대학,사립,전북,C그룹,967,220,2,16,18,967,1146,0.800000011920929
2015,287,오산대학교,전문대학,사립,경기,A그룹,2685,467,9,65,74,2685,4850,0.6000000238418579
2015,288,온석대학원대학교,대학원대학,사립,경기,-,199,27,2,3,5,199,308,0.6000000238418579
2015,289,용인대학교,대학,사립,경기,B그룹,7642,807,22,161,183,7642,7125,1.100000023841858
2015,290,용인예술과학대학교,전문대학,사립,경기,B그룹,2725,498,7,111,118,2725,4185,0.699999988079071
2015,291,우석대학교,대학,사립,전북,B그룹,16748,1955,21,98,119,16748,8653,1.899999976158142
2015,292,우송공업대학,전문대학,사립,대전,B그룹,0,0,0,0,0,0,0,0.0
2015,293,우송대학교,대학,사립,대전,A그룹,20454,1421,21,130,151,20454,9953,2.0999999046325684
2015,294,우송정보대학,전문대학,사립,대전,B그룹,20454,1421,21,130,151,20454,4866,4.199999809265137
2015,295,울산과학기술원,대학,국립,울산,C그룹,10657,987,19,94,113,10657,4123,2.5999999046325684
